ROUND label=64k phases=ladder,k start=2026-09-15T14:59:51Z
WAIT-FOREIGN-PARFAST ['43418 /root/cg512-15sep/parfast r -t4 -q -m128 set.par2'] (0m) ts=2026-09-15T14:59:51Z
LOCK-BUSY /root/.parfast-rig.lock
WAIT-LOCK ts=2026-09-15T15:07:52Z
WAIT-FOREIGN-PARFAST ['63279 /root/cg512-15sep/parfast r -t4 -q set.par2'] (0m) ts=2026-09-15T15:08:52Z
LOCK-BUSY /root/.parfast-rig.lock
WAIT-LOCK ts=2026-09-15T15:18:52Z
WAIT-FOREIGN-PARFAST ['89859 /root/cg512-15sep/parfast r -t4 -q set.par2'] (0m) ts=2026-09-15T15:19:52Z
RIG-LOCK-TAKEN /root/.parfast-rig.lock pid=43650
BOX host=amd-epyc-vm cpu=AMD EPYC 9354P 32-Core Processor cores=8 ram_gb=31.3 os=Ubuntu 24.04.4 LTS (kernel 6.8.0-137-generic) free_gb=167.1
LEG 64k-ladder-m96-big-fold2-t4-r1         ok path=fold wall=   1.84 cpu=    9.87 W=[] win=0 slabs=1 foreign=8.2/8.2 steal=3.61 load=2.8/2.8 rig=pdrv.py:15b7557472cfe247+rowgate.py:a31d9117cc83d61d
LEG 64k-ladder-m96-big-fold-t8-r1          ok path=fold wall=   1.53 cpu=   10.39 W=[] win=0 slabs=1 foreign=8.2/8.1 steal=4.84 load=2.8/3.4 rig=pdrv.py:15b7557472cfe247+rowgate.py:a31d9117cc83d61d
LEG 64k-ladder-m96-big-force-t8-r1         ok path=ntt  wall=   1.86 cpu=   12.84 W=[512] win=0 slabs=1 foreign=8.1/8.1 steal=0.8 load=3.4/3.4 rig=pdrv.py:15b7557472cfe247+rowgate.py:a31d9117cc83d61d
LEG 64k-ladder-m96-big-force2-t8-r1        ok path=ntt  wall=   1.95 cpu=   13.39 W=[512] win=0 slabs=1 foreign=8.1/8.1 steal=0.7 load=3.4/3.8 rig=pdrv.py:15b7557472cfe247+rowgate.py:a31d9117cc83d61d
LEG 64k-ladder-m96-big-fold2-t8-r1         ok path=fold wall=   1.45 cpu=    9.78 W=[] win=0 slabs=1 foreign=8.1/8.1 steal=2.22 load=3.8/3.8 rig=pdrv.py:15b7557472cfe247+rowgate.py:a31d9117cc83d61d
LEG 64k-ladder-m128-big-fold-t4-r1         ok path=fold wall=   2.22 cpu=   10.74 W=[] win=0 slabs=1 foreign=8.1/7.9 steal=2.06 load=3.8/3.9 rig=pdrv.py:15b7557472cfe247+rowgate.py:a31d9117cc83d61d
LEG 64k-ladder-m128-big-force-t4-r1        ok path=ntt  wall=   2.81 cpu=   13.20 W=[512] win=0 slabs=1 foreign=7.9/7.9 steal=1.85 load=3.9/3.9 rig=pdrv.py:15b7557472cfe247+rowgate.py:a31d9117cc83d61d
LEG 64k-ladder-m128-big-force2-t4-r1       ok path=ntt  wall=   2.81 cpu=   13.12 W=[512] win=0 slabs=1 foreign=7.9/17.9 steal=1.98 load=3.9/4.1 rig=pdrv.py:15b7557472cfe247+rowgate.py:a31d9117cc83d61d
LEG 64k-ladder-m128-big-fold2-t4-r1        ok path=fold wall=   2.21 cpu=   10.79 W=[] win=0 slabs=1 foreign=7.9/8.0 steal=1.79 load=4.1/4.6 rig=pdrv.py:15b7557472cfe247+rowgate.py:a31d9117cc83d61d
LEG 64k-ladder-m128-big-fold-t8-r1         ok path=fold wall=   1.71 cpu=   11.24 W=[] win=0 slabs=1 foreign=8.0/8.0 steal=2.68 load=4.6/4.6 rig=pdrv.py:15b7557472cfe247+rowgate.py:a31d9117cc83d61d
LEG 64k-ladder-m128-big-force-t8-r1        ok path=ntt  wall=   1.88 cpu=   12.92 W=[512] win=0 slabs=1 foreign=8.0/8.0 steal=0.99 load=4.6/4.6 rig=pdrv.py:15b7557472cfe247+rowgate.py:a31d9117cc83d61d
LEG 64k-ladder-m128-big-force2-t8-r1       ok path=ntt  wall=   3.07 cpu=   19.93 W=[512] win=0 slabs=1 foreign=8.0/8.0 steal=25.54 load=5.0/5.0 rig=pdrv.py:15b7557472cfe247+rowgate.py:a31d9117cc83d61d
LEG 64k-ladder-m128-big-fold2-t8-r1        ok path=fold wall=   2.13 cpu=   14.18 W=[] win=0 slabs=1 foreign=8.0/8.0 steal=19.93 load=5.0/6.0 rig=pdrv.py:15b7557472cfe247+rowgate.py:a31d9117cc83d61d
LEG 64k-ladder-m160-big-fold-t4-r1         ok path=fold wall=   2.69 cpu=   13.49 W=[] win=0 slabs=1 foreign=8.0/8.0 steal=10.1 load=6.0/6.9 rig=pdrv.py:15b7557472cfe247+rowgate.py:a31d9117cc83d61d
LEG 64k-ladder-m160-big-force-t4-r1        ok path=ntt  wall=   3.31 cpu=   14.78 W=[512] win=0 slabs=1 foreign=8.0/7.9 steal=6.2 load=6.9/6.9 rig=pdrv.py:15b7557472cfe247+rowgate.py:a31d9117cc83d61d
LEG 64k-ladder-m160-big-force2-t4-r1       ok path=ntt  wall=   3.17 cpu=   14.49 W=[512] win=0 slabs=1 foreign=7.9/7.9 steal=2.29 load=6.9/7.1 rig=pdrv.py:15b7557472cfe247+rowgate.py:a31d9117cc83d61d
LEG 64k-ladder-m160-big-fold2-t4-r1        ok path=fold wall=   2.29 cpu=   11.79 W=[] win=0 slabs=1 foreign=7.9/7.9 steal=3.02 load=7.1/6.9 rig=pdrv.py:15b7557472cfe247+rowgate.py:a31d9117cc83d61d
LEG 64k-ladder-m160-big-fold-t8-r1         ok path=fold wall=   1.97 cpu=   13.20 W=[] win=0 slabs=1 foreign=7.9/7.9 steal=6.0 load=6.9/6.9 rig=pdrv.py:15b7557472cfe247+rowgate.py:a31d9117cc83d61d
LEG 64k-ladder-m160-big-force-t8-r1        ok path=ntt  wall=   2.16 cpu=   14.98 W=[512] win=0 slabs=1 foreign=7.9/7.9 steal=7.11 load=6.9/7.1 rig=pdrv.py:15b7557472cfe247+rowgate.py:a31d9117cc83d61d
LEG 64k-ladder-m160-big-force2-t8-r1       ok path=ntt  wall=   2.12 cpu=   14.56 W=[512] win=0 slabs=1 foreign=7.9/7.9 steal=4.58 load=7.1/7.1 rig=pdrv.py:15b7557472cfe247+rowgate.py:a31d9117cc83d61d
LEG 64k-ladder-m160-big-fold2-t8-r1        ok path=fold wall=   1.95 cpu=   13.12 W=[] win=0 slabs=1 foreign=7.9/7.9 steal=7.04 load=7.1/8.2 rig=pdrv.py:15b7557472cfe247+rowgate.py:a31d9117cc83d61d
LEG 64k-ladder-m192-big-fold-t4-r1         ok path=fold wall=   2.81 cpu=   13.87 W=[] win=0 slabs=1 foreign=7.9/7.9 steal=6.56 load=8.2/8.7 rig=pdrv.py:15b7557472cfe247+rowgate.py:a31d9117cc83d61d
LEG 64k-ladder-m192-big-force-t4-r1        ok path=ntt  wall=   3.10 cpu=   14.10 W=[512] win=0 slabs=1 foreign=7.9/7.9 steal=4.26 load=8.7/8.7 rig=pdrv.py:15b7557472cfe247+rowgate.py:a31d9117cc83d61d
LEG 64k-ladder-m192-big-force2-t4-r1       ok path=ntt  wall=   3.04 cpu=   14.06 W=[512] win=0 slabs=1 foreign=7.9/7.9 steal=3.11 load=8.7/8.6 rig=pdrv.py:15b7557472cfe247+rowgate.py:a31d9117cc83d61d
LEG 64k-ladder-m192-big-fold2-t4-r1        ok path=fold wall=   2.58 cpu=   12.88 W=[] win=0 slabs=1 foreign=7.9/7.9 steal=3.48 load=8.6/8.3 rig=pdrv.py:15b7557472cfe247+rowgate.py:a31d9117cc83d61d
LEG 64k-ladder-m192-big-fold-t8-r1         ok path=fold wall=   1.93 cpu=   13.51 W=[] win=0 slabs=1 foreign=7.9/7.8 steal=2.88 load=8.3/8.3 rig=pdrv.py:15b7557472cfe247+rowgate.py:a31d9117cc83d61d
LEG 64k-ladder-m192-big-force-t8-r1        ok path=ntt  wall=   2.03 cpu=   13.69 W=[512] win=0 slabs=1 foreign=16.8/7.8 steal=1.04 load=8.3/8.5 rig=pdrv.py:15b7557472cfe247+rowgate.py:a31d9117cc83d61d
LEG 64k-ladder-m192-big-force2-t8-r1       ok path=ntt  wall=   1.99 cpu=   13.87 W=[512] win=0 slabs=1 foreign=7.8/7.7 steal=1.68 load=8.5/8.5 rig=pdrv.py:15b7557472cfe247+rowgate.py:a31d9117cc83d61d
LEG 64k-ladder-m192-big-fold2-t8-r1        ok path=fold wall=   2.07 cpu=   14.26 W=[] win=0 slabs=1 foreign=7.7/7.6 steal=5.99 load=8.5/9.5 rig=pdrv.py:15b7557472cfe247+rowgate.py:a31d9117cc83d61d
LEG 64k-ladder-m224-big-fold-t4-r1         ok path=fold wall=   2.91 cpu=   13.92 W=[] win=0 slabs=1 foreign=7.6/7.6 steal=2.26 load=9.5/9.5 rig=pdrv.py:15b7557472cfe247+rowgate.py:a31d9117cc83d61d
LEG 64k-ladder-m224-big-force-t4-r1        ok path=ntt  wall=   4.17 cpu=   19.54 W=[512] win=0 slabs=1 foreign=7.6/7.6 steal=18.24 load=9.4/9.4 rig=pdrv.py:15b7557472cfe247+rowgate.py:a31d9117cc83d61d
LEG 64k-ladder-m224-big-force2-t4-r1       ok path=ntt  wall=   3.25 cpu=   14.97 W=[512] win=0 slabs=1 foreign=7.6/7.6 steal=4.93 load=8.8/8.8 rig=pdrv.py:15b7557472cfe247+rowgate.py:a31d9117cc83d61d
LEG 64k-ladder-m224-big-fold2-t4-r1        ok path=fold wall=   3.09 cpu=   14.93 W=[] win=0 slabs=1 foreign=7.6/7.6 steal=3.15 load=8.8/8.8 rig=pdrv.py:15b7557472cfe247+rowgate.py:a31d9117cc83d61d
LEG 64k-ladder-m224-big-fold-t8-r1         ok path=fold wall=   2.15 cpu=   14.91 W=[] win=0 slabs=1 foreign=7.6/7.6 steal=3.74 load=8.8/10.6 rig=pdrv.py:15b7557472cfe247+rowgate.py:a31d9117cc83d61d
LEG 64k-ladder-m224-big-force-t8-r1        ok path=ntt  wall=   2.05 cpu=   14.10 W=[512] win=0 slabs=1 foreign=7.6/7.6 steal=2.11 load=10.6/10.6 rig=pdrv.py:15b7557472cfe247+rowgate.py:a31d9117cc83d61d
LEG 64k-ladder-m224-big-force2-t8-r1       ok path=ntt  wall=   2.06 cpu=   14.12 W=[512] win=0 slabs=1 foreign=7.6/7.6 steal=2.29 load=10.6/10.5 rig=pdrv.py:15b7557472cfe247+rowgate.py:a31d9117cc83d61d
LEG 64k-ladder-m224-big-fold2-t8-r1        ok path=fold wall=   2.10 cpu=   14.57 W=[] win=0 slabs=1 foreign=7.6/7.6 steal=1.9 load=10.5/10.5 rig=pdrv.py:15b7557472cfe247+rowgate.py:a31d9117cc83d61d
LEG 64k-ladder-m256-big-fold-t4-r1         ok path=fold wall=   3.30 cpu=   15.76 W=[] win=0 slabs=1 foreign=7.6/7.5 steal=6.04 load=10.5/10.4 rig=pdrv.py:15b7557472cfe247+rowgate.py:a31d9117cc83d61d
LEG 64k-ladder-m256-big-force-t4-r1        ok path=ntt  wall=   3.25 cpu=   14.78 W=[512] win=0 slabs=1 foreign=7.5/7.5 steal=3.43 load=10.4/9.9 rig=pdrv.py:15b7557472cfe247+rowgate.py:a31d9117cc83d61d
LEG 64k-ladder-m256-big-force2-t4-r1       ok path=ntt  wall=   3.25 cpu=   14.92 W=[512] win=0 slabs=1 foreign=7.5/7.5 steal=5.21 load=9.9/10.5 rig=pdrv.py:15b7557472cfe247+rowgate.py:a31d9117cc83d61d
LEG 64k-ladder-m256-big-fold2-t4-r1        ok path=fold wall=   3.33 cpu=   15.77 W=[] win=0 slabs=1 foreign=7.5/7.5 steal=3.33 load=10.5/10.5 rig=pdrv.py:15b7557472cfe247+rowgate.py:a31d9117cc83d61d
LEG 64k-ladder-m256-big-fold-t8-r1         ok path=fold wall=   2.33 cpu=   15.88 W=[] win=0 slabs=1 foreign=7.5/7.5 steal=3.45 load=10.5/10.6 rig=pdrv.py:15b7557472cfe247+rowgate.py:a31d9117cc83d61d
LEG 64k-ladder-m256-big-force-t8-r1        ok path=ntt  wall=   2.23 cpu=   15.10 W=[512] win=0 slabs=1 foreign=7.5/11.5 steal=3.1 load=10.6/10.6 rig=pdrv.py:15b7557472cfe247+rowgate.py:a31d9117cc83d61d
LEG 64k-ladder-m256-big-force2-t8-r1       ok path=ntt  wall=   2.07 cpu=   14.41 W=[512] win=0 slabs=1 foreign=7.5/7.5 steal=1.44 load=10.5/10.5 rig=pdrv.py:15b7557472cfe247+rowgate.py:a31d9117cc83d61d
LEG 64k-ladder-m256-big-fold2-t8-r1        ok path=fold wall=   2.27 cpu=   16.21 W=[] win=0 slabs=1 foreign=7.5/7.5 steal=4.05 load=10.5/10.4 rig=pdrv.py:15b7557472cfe247+rowgate.py:a31d9117cc83d61d
LEG 64k-ladder-m288-big-fold-t4-r1         ok path=fold wall=   3.52 cpu=   16.42 W=[] win=0 slabs=1 foreign=7.5/7.5 steal=4.24 load=10.4/10.4 rig=pdrv.py:15b7557472cfe247+rowgate.py:a31d9117cc83d61d
LEG 64k-ladder-m288-big-force-t4-r1        ok path=ntt  wall=   3.26 cpu=   14.62 W=[512] win=0 slabs=1 foreign=7.5/7.5 steal=3.41 load=9.7/9.7 rig=pdrv.py:15b7557472cfe247+rowgate.py:a31d9117cc83d61d
LEG 64k-ladder-m288-big-force2-t4-r1       ok path=ntt  wall=   4.13 cpu=   18.19 W=[512] win=0 slabs=1 foreign=7.5/7.4 steal=14.54 load=9.7/9.7 rig=pdrv.py:15b7557472cfe247+rowgate.py:a31d9117cc83d61d
LEG 64k-ladder-m288-big-fold2-t4-r1        ok path=fold wall=   3.63 cpu=   16.86 W=[] win=0 slabs=1 foreign=7.4/7.4 steal=4.85 load=9.7/9.8 rig=pdrv.py:15b7557472cfe247+rowgate.py:a31d9117cc83d61d
LEG 64k-ladder-m288-big-fold-t8-r1         ok path=fold wall=   2.46 cpu=   17.28 W=[] win=0 slabs=1 foreign=7.4/7.4 steal=4.39 load=9.8/9.8 rig=pdrv.py:15b7557472cfe247+rowgate.py:a31d9117cc83d61d
LEG 64k-ladder-m288-big-force-t8-r1        ok path=ntt  wall=   2.07 cpu=   14.20 W=[512] win=0 slabs=1 foreign=8.7/7.2 steal=1.61 load=9.8/9.8 rig=pdrv.py:15b7557472cfe247+rowgate.py:a31d9117cc83d61d
LEG 64k-ladder-m288-big-force2-t8-r1       ok path=ntt  wall=   2.05 cpu=   14.17 W=[512] win=0 slabs=1 foreign=7.2/7.2 steal=1.7 load=9.8/10.0 rig=pdrv.py:15b7557472cfe247+rowgate.py:a31d9117cc83d61d
LEG 64k-ladder-m288-big-fold2-t8-r1        ok path=fold wall=   2.23 cpu=   15.89 W=[] win=0 slabs=1 foreign=7.2/7.2 steal=1.73 load=10.0/10.0 rig=pdrv.py:15b7557472cfe247+rowgate.py:a31d9117cc83d61d
LEG 64k-ladder-m320-big-fold-t4-r1         ok path=fold wall=   3.57 cpu=   16.66 W=[] win=0 slabs=1 foreign=7.2/7.2 steal=1.15 load=10.0/10.3 rig=pdrv.py:15b7557472cfe247+rowgate.py:a31d9117cc83d61d
LEG 64k-ladder-m320-big-force-t4-r1        ok path=ntt  wall=   3.19 cpu=   14.50 W=[512] win=0 slabs=1 foreign=7.2/7.2 steal=1.7 load=10.3/9.8 rig=pdrv.py:15b7557472cfe247+rowgate.py:a31d9117cc83d61d
LEG 64k-ladder-m320-big-force2-t4-r1       ok path=ntt  wall=   3.06 cpu=   13.96 W=[512] win=0 slabs=1 foreign=7.2/7.2 steal=1.13 load=9.8/9.5 rig=pdrv.py:15b7557472cfe247+rowgate.py:a31d9117cc83d61d
LEG 64k-ladder-m320-big-fold2-t4-r1        ok path=fold wall=   3.64 cpu=   16.81 W=[] win=0 slabs=1 foreign=7.2/13.1 steal=1.7 load=9.5/8.9 rig=pdrv.py:15b7557472cfe247+rowgate.py:a31d9117cc83d61d
LEG 64k-ladder-m320-big-fold-t8-r1         ok path=fold wall=   2.47 cpu=   17.67 W=[] win=0 slabs=1 foreign=7.2/7.2 steal=1.31 load=8.9/8.9 rig=pdrv.py:15b7557472cfe247+rowgate.py:a31d9117cc83d61d
LEG 64k-ladder-m320-big-force-t8-r1        ok path=ntt  wall=   2.17 cpu=   15.16 W=[512] win=0 slabs=1 foreign=7.2/7.2 steal=1.66 load=8.9/9.0 rig=pdrv.py:15b7557472cfe247+rowgate.py:a31d9117cc83d61d
LEG 64k-ladder-m320-big-force2-t8-r1       ok path=ntt  wall=   2.16 cpu=   14.86 W=[512] win=0 slabs=1 foreign=7.2/7.2 steal=1.32 load=9.0/9.0 rig=pdrv.py:15b7557472cfe247+rowgate.py:a31d9117cc83d61d
LEG 64k-ladder-m320-big-fold2-t8-r1        ok path=fold wall=   2.54 cpu=   18.31 W=[] win=0 slabs=1 foreign=7.2/7.2 steal=4.25 load=9.0/9.7 rig=pdrv.py:15b7557472cfe247+rowgate.py:a31d9117cc83d61d
LEG 64k-ladder-m384-big-fold-t4-r1         ok path=fold wall=   4.29 cpu=   19.45 W=[] win=0 slabs=1 foreign=7.2/82.2 steal=2.36 load=9.7/9.4 rig=pdrv.py:15b7557472cfe247+rowgate.py:a31d9117cc83d61d
LEG 64k-ladder-m384-big-force-t4-r1        ok path=ntt  wall=   3.16 cpu=   14.36 W=[512] win=0 slabs=1 foreign=7.2/7.2 steal=2.15 load=9.4/9.0 rig=pdrv.py:15b7557472cfe247+rowgate.py:a31d9117cc83d61d
LEG 64k-ladder-m384-big-force2-t4-r1       ok path=ntt  wall=   3.47 cpu=   15.70 W=[512] win=0 slabs=1 foreign=7.2/7.2 steal=2.43 load=9.0/8.7 rig=pdrv.py:15b7557472cfe247+rowgate.py:a31d9117cc83d61d
LEG 64k-ladder-m384-big-fold2-t4-r1        ok path=fold wall=   5.55 cpu=   25.17 W=[] win=0 slabs=1 foreign=7.2/7.2 steal=13.65 load=8.7/8.4 rig=pdrv.py:15b7557472cfe247+rowgate.py:a31d9117cc83d61d
LEG 64k-ladder-m384-big-fold-t8-r1         ok path=fold wall=   3.17 cpu=   22.67 W=[] win=0 slabs=1 foreign=7.1/7.1 steal=8.05 load=8.4/7.9 rig=pdrv.py:15b7557472cfe247+rowgate.py:a31d9117cc83d61d
LEG 64k-ladder-m384-big-force-t8-r1        ok path=ntt  wall=   2.41 cpu=   16.53 W=[512] win=0 slabs=1 foreign=7.1/7.1 steal=8.02 load=7.9/7.9 rig=pdrv.py:15b7557472cfe247+rowgate.py:a31d9117cc83d61d
LEG 64k-ladder-m384-big-force2-t8-r1       ok path=ntt  wall=   2.18 cpu=   14.83 W=[512] win=0 slabs=1 foreign=7.1/7.1 steal=2.27 load=7.9/7.7 rig=pdrv.py:15b7557472cfe247+rowgate.py:a31d9117cc83d61d
LEG 64k-ladder-m384-big-fold2-t8-r1        ok path=fold wall=   2.83 cpu=   20.85 W=[] win=0 slabs=1 foreign=7.1/7.0 steal=2.06 load=7.7/7.7 rig=pdrv.py:15b7557472cfe247+rowgate.py:a31d9117cc83d61d
LEG 64k-ladder-m512-big-fold-t4-r1         ok path=fold wall=   5.45 cpu=   24.05 W=[] win=0 slabs=1 foreign=7.0/7.0 steal=3.61 load=7.8/7.5 rig=pdrv.py:15b7557472cfe247+rowgate.py:a31d9117cc83d61d
LEG 64k-ladder-m512-big-force-t4-r1        ok path=ntt  wall=   3.29 cpu=   14.88 W=[512] win=0 slabs=1 foreign=7.0/7.0 steal=1.8 load=7.5/8.3 rig=pdrv.py:15b7557472cfe247+rowgate.py:a31d9117cc83d61d
LEG 64k-ladder-m512-big-force2-t4-r1       ok path=ntt  wall=   3.09 cpu=   14.10 W=[512] win=0 slabs=1 foreign=7.0/7.0 steal=0.56 load=8.3/8.3 rig=pdrv.py:15b7557472cfe247+rowgate.py:a31d9117cc83d61d
LEG 64k-ladder-m512-big-fold2-t4-r1        ok path=fold wall=   5.75 cpu=   24.81 W=[] win=0 slabs=1 foreign=7.0/8.0 steal=2.39 load=8.3/7.6 rig=pdrv.py:15b7557472cfe247+rowgate.py:a31d9117cc83d61d
LEG 64k-ladder-m512-big-fold-t8-r1         ok path=fold wall=   3.44 cpu=   25.03 W=[] win=0 slabs=1 foreign=8.0/6.9 steal=1.81 load=7.6/7.6 rig=pdrv.py:15b7557472cfe247+rowgate.py:a31d9117cc83d61d
LEG 64k-ladder-m512-big-force-t8-r1        ok path=ntt  wall=   2.23 cpu=   15.01 W=[512] win=0 slabs=1 foreign=6.9/6.9 steal=0.95 load=7.8/7.8 rig=pdrv.py:15b7557472cfe247+rowgate.py:a31d9117cc83d61d
LEG 64k-ladder-m512-big-force2-t8-r1       ok path=ntt  wall=   2.20 cpu=   15.15 W=[512] win=0 slabs=1 foreign=6.9/6.9 steal=1.46 load=7.8/7.3 rig=pdrv.py:15b7557472cfe247+rowgate.py:a31d9117cc83d61d
LEG 64k-ladder-m512-big-fold2-t8-r1        ok path=fold wall=   3.67 cpu=   26.41 W=[] win=0 slabs=1 foreign=6.9/6.9 steal=4.95 load=7.3/7.3 rig=pdrv.py:15b7557472cfe247+rowgate.py:a31d9117cc83d61d
LEG 64k-k-m192-big-fold-t4-r1              ok path=fold wall=   2.70 cpu=   13.47 W=[] win=0 slabs=1 foreign=6.9/6.9 steal=5.1 load=6.9/6.9 rig=pdrv.py:15b7557472cfe247+rowgate.py:a31d9117cc83d61d
LEG 64k-k-m512-big-fold-t4-r1              ok path=fold wall=   5.92 cpu=   25.75 W=[] win=0 slabs=1 foreign=6.9/6.9 steal=5.49 load=6.9/6.8 rig=pdrv.py:15b7557472cfe247+rowgate.py:a31d9117cc83d61d
LEG 64k-k-m1024-big-fold-t4-r1             ok path=fold wall=  10.24 cpu=   42.67 W=[] win=0 slabs=1 foreign=6.9/6.8 steal=2.84 load=6.4/5.9 rig=pdrv.py:15b7557472cfe247+rowgate.py:a31d9117cc83d61d
LEG 64k-k-m2048-big-fold-t4-r1             ok path=fold wall=  17.17 cpu=   69.78 W=[] win=0 slabs=1 foreign=6.8/6.8 steal=2.29 load=5.9/5.8 rig=pdrv.py:15b7557472cfe247+rowgate.py:a31d9117cc83d61d
LEG 64k-k-m4096-big-fold-t4-r1             ok path=fold wall=  35.38 cpu=  139.85 W=[] win=0 slabs=1 foreign=6.8/6.7 steal=11.33 load=5.5/5.1 rig=pdrv.py:15b7557472cfe247+rowgate.py:a31d9117cc83d61d
LEG 64k-k-m256-big-forcep-t4-r1            ok path=ntt  wall=   4.54 cpu=   21.38 W=[512] win=0 slabs=1 foreign=6.7/6.7 steal=22.13 load=5.1/5.2 rig=pdrv.py:15b7557472cfe247+rowgate.py:a31d9117cc83d61d
LEG 64k-k-m256-128-forcep-t4-r1            ok path=ntt  wall=   3.49 cpu=   16.42 W=[512] win=7 slabs=1 foreign=6.7/6.7 steal=7.2 load=5.2/5.0 rig=pdrv.py:15b7557472cfe247+rowgate.py:a31d9117cc83d61d
LEG 64k-k-m1024-big-forcep-t4-r1           ok path=ntt  wall=   3.94 cpu=   17.50 W=[512] win=0 slabs=1 foreign=6.7/6.6 steal=5.24 load=5.0/5.0 rig=pdrv.py:15b7557472cfe247+rowgate.py:a31d9117cc83d61d
LEG 64k-k-m1024-128-forcep-t4-r1           ok path=ntt  wall=   4.45 cpu=   19.24 W=[512] win=6 slabs=2 foreign=6.6/6.6 steal=7.48 load=5.0/5.2 rig=pdrv.py:15b7557472cfe247+rowgate.py:a31d9117cc83d61d
LEG 64k-k-m4096-big-forcep-t4-r1           ok path=ntt  wall=   4.96 cpu=   20.23 W=[512] win=0 slabs=1 foreign=6.6/6.6 steal=7.05 load=5.2/5.2 rig=pdrv.py:15b7557472cfe247+rowgate.py:a31d9117cc83d61d
LEG 64k-k-m4096-128-forcep-t4-r1           ok path=ntt  wall=  10.23 cpu=   40.55 W=[512] win=4 slabs=4 foreign=6.6/6.5 steal=4.28 load=5.2/4.7 rig=pdrv.py:15b7557472cfe247+rowgate.py:a31d9117cc83d61d
LEG 64k-k-m192-big-fold-t8-r1              ok path=fold wall=   2.05 cpu=   13.96 W=[] win=0 slabs=1 foreign=6.5/6.5 steal=4.17 load=4.4/4.4 rig=pdrv.py:15b7557472cfe247+rowgate.py:a31d9117cc83d61d
LEG 64k-k-m512-big-fold-t8-r1              ok path=fold wall=   3.43 cpu=   24.98 W=[] win=0 slabs=1 foreign=6.5/6.5 steal=4.74 load=4.4/4.7 rig=pdrv.py:15b7557472cfe247+rowgate.py:a31d9117cc83d61d
LEG 64k-k-m1024-big-fold-t8-r1             ok path=fold wall=   6.83 cpu=   50.22 W=[] win=0 slabs=1 foreign=6.5/6.5 steal=10.35 load=4.7/4.7 rig=pdrv.py:15b7557472cfe247+rowgate.py:a31d9117cc83d61d
LEG 64k-k-m2048-big-fold-t8-r1             ok path=fold wall=  10.53 cpu=   79.11 W=[] win=0 slabs=1 foreign=6.5/6.5 steal=5.88 load=4.6/5.3 rig=pdrv.py:15b7557472cfe247+rowgate.py:a31d9117cc83d61d
